"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C5,C7,C20,C18";"C_0805_2012Metric";4;"470nF";;;
2;"C15,C26,C2,C13";"C_0805_2012Metric";4;"330pF";;;
3;"R11,R5";"R_0805_2012Metric";2;"33K";;;
4;"C3,C16";"CP_Radial_D13.0mm_P5.00mm";2;"330uF";;;
5;"J1";"TerminalBlock_Altech_AK300-2_P5.00mm";1;"VBATIN";;;
6;"L4,L2";"L_Radial_D12.0mm_P10.00mm_Neosid_SD12_style1";2;"150uH";;;
7;"C25,C12,C19,C6";"C_0805_2012Metric";4;"4.7nF";;;
8;"C23,C10";"CP_Radial_D13.0mm_P5.00mm";2;"3300uF";;;
9;"U4,U5,U2,U1";"STPS10L25G-TR";4;"STPS10L25G-TR";;;
10;"C24,C17,C11,C4";"C_0805_2012Metric";4;"22nF";;;
11;"CR2,CR1";"L4974A";2;"L4974A";;;
12;"R1,R7";"R_0805_2012Metric";2;"6.2K";;;
13;"J5";"TerminalBlock_Altech_AK300-2_P5.00mm";1;"5VOUT";;;
14;"R6,R12,R9,R3";"R_0805_2012Metric";4;"15K";;;
15;"R8,R2";"R_0805_2012Metric";2;"4.7K";;;
16;"U6,U3";"L4975A";2;"L4975A";;;
17;"C9,C22";"CP_Radial_D13.0mm_P5.00mm";2;"470uF";;;
18;"C14,C1";"C_0805_2012Metric";2;"47nF";;;
19;"EMER_STOP1";"JST_VH_B2P-VH-B_1x02_P3.96mm_Vertical";1;"Conn_01x02_Male";;;
20;"R14";"R_0805_2012Metric";1;"150";;;
21;"F1";"Fuseholder_Littelfuse_445_030_series_5x20mm";1;"Fuse";;;
22;"C8,C21";"CP_Radial_D13.0mm_P5.00mm";2;"1000uF";;;
23;"J3";"TerminalBlock_Altech_AK300-2_P5.00mm";1;"12VOUT";;;
24;"D2,D1";"LED_D5.0mm";2;"LED";;;
25;"R10,R4";"R_0805_2012Metric";2;"30K";;;
26;"SW1";"JST_VH_B2P-VH_1x02_P3.96mm_Vertical";1;"SW_SPST";;;
27;"R13";"R_0805_2012Metric";1;"500";;;
28;"L3,L1";"L_Radial_D12.0mm_P10.00mm_Neosid_SD12_style1";2;"300uH";;;
